Ea = 0.7086204122839678 eV
D0 = 1.0905216184948469e-07 m2/s

T (K) 	D (m2/s)
1200	1.387056953013707e-10
1300	1.7676929105913893e-10
1400	2.8130818847781834e-10
1500	4.2807267110423096e-10
1600	5.559961227863937e-10
1700	9.657303357368265e-10
1800	1.1169002991770374e-09
1900	1.522315683757297e-09
2000	1.866043091974792e-09
